alpha1,alpha2,lambd,th,xmax_th,xmax_camber,th_le,th_te,dist_blades,thdist_ver,nblades,pts,pts_th,selected_blade,npts,l_chord,x_offset,y_offset
26.0,14.0,22.5,0.0477,0.3887,0.3742,0.01,0.01,0.43,1,single,"[[0.   0.  ]
 [0.25 0.25]
 [0.5  0.5 ]
 [0.75 0.75]
 [1.   1.  ]]","[[0.   0.  ]
 [0.1  0.15]
 [0.4  1.  ]
 [0.9  0.35]
 [1.   0.  ]]",0,2000.0,1.0,0,0
26.0,14.0,22.5,0.0477,0.3887,0.3742,0.01,0.01,0.43,1,single,"[[0.   0.  ]
 [0.25 0.25]
 [0.5  0.5 ]
 [0.75 0.75]
 [1.   1.  ]]","[[0.   0.  ]
 [0.1  0.15]
 [0.4  1.  ]
 [0.9  0.35]
 [1.   0.  ]]",0,2000.0,1.0,0,0
26.0,14.0,22.5,0.0477,0.3887,0.3742,0.01,0.01,0.43,1,single,"[[0.   0.  ]
 [0.25 0.25]
 [0.5  0.5 ]
 [0.75 0.75]
 [1.   1.  ]]","[[0.   0.  ]
 [0.1  0.15]
 [0.4  1.  ]
 [0.9  0.35]
 [1.   0.  ]]",0,2000.0,1.0,0,0
